UID        PID  PPID  C    SZ   RSS PSR STIME TTY          TIME CMD
root         1     0  0  1113  2536   1 16:52 ?        00:00:01 /sbin/init
root         2     0  0     0     0   1 16:52 ?        00:00:00 [kthreadd]
root         3     2  0     0     0   0 16:52 ?        00:00:00 [ksoftirqd/0]
root         4     2  0     0     0   0 16:52 ?        00:00:43 [kworker/0:0]
root         5     2  0     0     0   0 16:52 ?        00:00:00 [kworker/0:0H]
root         7     2  0     0     0   0 16:52 ?        00:00:05 [rcu_sched]
root         8     2  0     0     0   0 16:52 ?        00:00:00 [rcu_bh]
root         9     2  0     0     0   0 16:52 ?        00:00:00 [migration/0]
root        10     2  0     0     0   0 16:52 ?        00:00:00 [watchdog/0]
root        11     2  0     0     0   1 16:52 ?        00:00:00 [watchdog/1]
root        12     2  0     0     0   1 16:52 ?        00:00:00 [migration/1]
root        13     2  0     0     0   1 16:52 ?        00:00:01 [ksoftirqd/1]
root        14     2  0     0     0   1 16:52 ?        00:00:28 [kworker/1:0]
root        15     2  0     0     0   1 16:52 ?        00:00:00 [kworker/1:0H]
root        16     2  0     0     0   1 16:52 ?        00:00:00 [khelper]
root        17     2  0     0     0   1 16:52 ?        00:00:00 [kdevtmpfs]
root        18     2  0     0     0   0 16:52 ?        00:00:00 [netns]
root        19     2  0     0     0   0 16:52 ?        00:00:00 [writeback]
root        20     2  0     0     0   1 16:52 ?        00:00:00 [kintegrityd]
root        21     2  0     0     0   1 16:52 ?        00:00:00 [bioset]
root        22     2  0     0     0   0 16:52 ?        00:00:00 [kworker/u9:0]
root        23     2  0     0     0   0 16:52 ?        00:00:00 [kblockd]
root        24     2  0     0     0   0 16:52 ?        00:00:00 [ata_sff]
root        25     2  0     0     0   1 16:52 ?        00:00:00 [khubd]
root        26     2  0     0     0   1 16:52 ?        00:00:00 [md]
root        27     2  0     0     0   1 16:52 ?        00:00:00 [devfreq_wq]
root        29     2  0     0     0   1 16:52 ?        00:00:00 [kworker/1:1]
root        31     2  0     0     0   1 16:52 ?        00:00:00 [khungtaskd]
root        32     2  0     0     0   1 16:52 ?        00:00:00 [kswapd0]
root        33     2  0     0     0   0 16:52 ?        00:00:00 [ksmd]
root        34     2  0     0     0   0 16:52 ?        00:00:00 [khugepaged]
root        35     2  0     0     0   1 16:52 ?        00:00:00 [fsnotify_mark]
root        36     2  0     0     0   1 16:52 ?        00:00:00 [ecryptfs-kthrea]
root        37     2  0     0     0   1 16:52 ?        00:00:00 [crypto]
root        49     2  0     0     0   1 16:52 ?        00:00:00 [kthrotld]
root        73     2  0     0     0   0 16:52 ?        00:00:00 [deferwq]
root        74     2  0     0     0   0 16:52 ?        00:00:00 [charger_manager]
root       121     2  0     0     0   1 16:52 ?        00:00:00 [kpsmoused]
root       122     2  0     0     0   0 16:52 ?        00:00:00 [scsi_eh_0]
root       123     2  0     0     0   1 16:52 ?        00:00:00 [scsi_eh_1]
root       124     2  0     0     0   0 16:52 ?        00:00:00 [scsi_eh_2]
root       125     2  0     0     0   0 16:52 ?        00:00:00 [scsi_eh_3]
root       126     2  0     0     0   1 16:52 ?        00:00:00 [scsi_eh_4]
root       127     2  0     0     0   0 16:52 ?        00:00:00 [scsi_eh_5]
root       132     2  0     0     0   1 16:52 ?        00:00:06 [kworker/u8:7]
root       141     2  0     0     0   0 16:52 ?        00:00:00 [scsi_eh_6]
root       142     2  0     0     0   0 16:52 ?        00:00:00 [usb-storage]
